training_id,module,topic,objective,content,role_access,ai_use_case,do_say,avoid_saying,source_url,approval_status
DT001,Company Orientation,What Dayjoy is,Help new distributors explain Dayjoy correctly.,"Dayjoy should be explained as a direct-selling wellness and lifestyle company focused on quality lifestyle products across health, beauty, wellness and household needs. Keep the explanation simple and factual.","distributor,employee,admin",Answer: What is Dayjoy? / How should I introduce Dayjoy?,Dayjoy is a wellness and lifestyle direct-selling company with multiple product categories.,Do not present Dayjoy as a medical company or promise guaranteed income.,https://www.dayjoy.in/about-direct-selling-company,public_data_needs_company_verification
DT002,Product Category Training,Know the product categories,Help distributors guide customers to the correct category before recommending a product.,"First understand the customer's need, then map it to a category such as health care, personal care, home care, food products, agriculture and veterinary, skin care, clothing, or Dayjoy essentials.","distributor,employee,admin",Answer category-based queries and route users to relevant product groups.,"Let me first understand your need, then I can suggest a relevant Dayjoy category.",Do not randomly suggest products without understanding the customer's need.,https://www.dayjoy.in/Downloads,public_data_needs_company_verification
DT003,Brand Knowledge,Dayjoy sub-brands,Teach distributors to recognize key Dayjoy sub-brands.,"Dayjoy publicly mentions sub-brands/products such as Asthprash, Curind, Wildmuse, Yumdum, Aayushmaan, Happy Grow, Domatti and Homeshine. Use these names only with approved product details.","distributor,employee,admin",Answer: What are Dayjoy brands?,"Dayjoy has several product lines including Asthprash, Curind, Wildmuse, Yumdum, Aayushmaan, Happy Grow, Domatti and Homeshine.",Do not invent new brands or product lines.,https://www.dayjoy.in/about-direct-selling-company,public_data_needs_company_verification
DT004,Ethical Selling,Understand customer needs first,Avoid pushy selling and improve trust.,"Before suggesting a product, ask about the customer's need, category interest, age group if relevant, and whether they need general wellness, beauty, home care, food, or agriculture support. Keep it conversational and respectful.","distributor,employee,admin",Generate ethical conversation flow for distributors.,Can you tell me your main requirement so I can guide you to the correct Dayjoy category?,Do not pressure customers or make urgent buying claims.,https://www.dayjoy.in/Blog/BlogDetails/7-Tips-to-Overcome-Fears-about-Marketing-and-sharing-your-direct-sales-business-with-others/85,mentor_created_from_public_training_theme
DT005,Fear Handling,Overcoming fear of marketing,Help distributors become confident without becoming aggressive.,"New distributors may fear rejection or being seen as pushy. The professional method is to understand the source of fear, build product knowledge, speak with enthusiasm, and focus on helping instead of forcing a sale.","distributor,admin",Answer: I am afraid to talk to customers. What should I do?,"Start with people who trust you, ask questions, and focus on helping them understand the product.",Do not tell distributors to spam or pressure people.,https://www.dayjoy.in/Blog/BlogDetails/7-Tips-to-Overcome-Fears-about-Marketing-and-sharing-your-direct-sales-business-with-others/85,public_data_needs_company_verification
DT006,Compliance,No recruitment-only income claims,Keep distributor communication compliant and safe.,"Business explanations should not promise income only from recruitment. Focus on product sales, customer building, ethical business activity, and official company compensation information only.","distributor,employee,admin",Block unsafe business income claims.,"Income depends on product sales, effort, compliance, customer building and official company plan rules.",Do not say income is guaranteed or recruitment alone creates income.,https://www.dayjoy.in/landingpage/index.html,public_data_needs_company_verification
DT007,Compliance,No guaranteed income promise,Prevent legal and trust risks.,"Never promise a fixed monthly income, guaranteed rank, guaranteed promotion, or guaranteed financial result. Use careful wording: results vary and depend on effort, skill, customer base, product sales, and official plan conditions.","distributor,employee,admin",Answer income questions safely.,Results vary and should be understood from official Dayjoy plan documents.,You will definitely earn ₹X per month.,https://www.dayjoy.in/landingpage/index.html,public_data_needs_company_verification
DT008,Compliance,Buy-back and disclosures,Teach distributors to mention policies only from official sources.,"If asked about buy-back, income disclosure, compliance training, or direct selling rules, answer only from official Dayjoy documents and recommend checking the latest official company material.","distributor,employee,admin",Answer policy questions with source-aware caution.,Please refer to the official Dayjoy policy document for the latest details.,Do not invent exact policy terms if not present in the knowledge base.,https://www.dayjoy.in/landingpage/index.html,public_data_needs_company_verification
DT009,Product Communication,No medical treatment claims,Keep health product explanation safe.,"For health and wellness products, explain only general wellness support based on official product data. Do not say cure, treat, prevent disease, replace medicine, or guarantee health results.","distributor,employee,admin",Safety guardrail for health product queries.,This may support general wellness as per product information.,This cures diabetes/asthma/cancer or replaces medicine.,https://www.dayjoy.in/about-direct-selling-company,mentor_compliance_rule_needs_company_legal_review
DT010,Customer Conversation,Four-step customer conversation,Give distributors a repeatable ethical script.,"Use this flow: 1) Ask need, 2) Identify category, 3) Explain relevant product information from official data, 4) Share usage/safety note and suggest checking official label or support.","distributor,employee,admin",Create scripts for customer discussion.,"Based on your requirement, this category may be relevant. Please check product label and official guidance.",Do not diagnose or force the product.,https://www.dayjoy.in/Blog/BlogDetails/7-Tips-to-Overcome-Fears-about-Marketing-and-sharing-your-direct-sales-business-with-others/85,mentor_created_from_public_training_theme
