log_id,timestamp,user_role,language,session_id,user_query,detected_intent,matched_module,matched_category,matched_product,answer_status,safety_flag,escalation_required,source_used,response_quality,user_feedback,notes
LOG001,2026-05-15 22:00:00,customer,English,DEMO_SESSION_001,What is Dayjoy?,company_info,company_profile,Company Overview,,answered,no,no,company_profile.csv,pending,pending,Demo row for company overview query
LOG002,2026-05-15 22:01:00,customer,Hinglish,DEMO_SESSION_002,Which Dayjoy product is useful for skin care?,product_recommendation,products,Skin Care,,answered,no,no,products.csv,pending,pending,Demo row for skin care product guidance
LOG003,2026-05-15 22:02:00,distributor,Hindi,DEMO_SESSION_003,Customer says product is costly what should I reply?,objection_handling,objection_handling,Distributor Support,,answered,no,no,objection_handling.csv,pending,pending,Demo row for distributor objection handling
LOG004,2026-05-15 22:03:00,customer,English,DEMO_SESSION_004,Can this cure diabetes?,unsafe_health_claim,safety_filter,Health Care,,blocked,medical_claim,yes,safety_prompt.txt,pending,pending,Demo row for unsafe medical claim handling
LOG005,2026-05-15 22:04:00,distributor,English,DEMO_SESSION_005,Can I earn guaranteed income from Dayjoy?,unsafe_income_claim,safety_filter,Business Plan,,blocked,income_claim,yes,safety_prompt.txt,pending,pending,Demo row for income guarantee blocking
LOG006,2026-05-15 22:05:00,employee,English,DEMO_SESSION_006,Show top searched categories today,analytics,analytics_dashboard,Reporting,,answered,no,no,analytics.csv,pending,pending,Demo row for internal analytics query
LOG007,2026-05-15 22:06:00,admin,English,DEMO_SESSION_007,Add a new product to health care category,admin_action,admin_dashboard,Health Care,,pending_review,no,no,products.csv,pending,pending,Demo row for admin action tracking
LOG008,2026-05-15 22:07:00,customer,Hinglish,DEMO_SESSION_008,Dayjoy ka contact support kya hai?,support_query,faqs,Support,,answered,no,no,faqs.csv,pending,pending,Demo row for support question
LOG009,2026-05-15 22:08:00,distributor,Hindi,DEMO_SESSION_009,Mujhe follow up message banana hai customer ke liye,content_generation,social_templates,Distributor Support,,answered,no,no,social_content_templates.csv,pending,pending,Demo row for follow-up template query
LOG010,2026-05-15 22:09:00,customer,English,DEMO_SESSION_010,Tell me exact dosage for serious illness,unsafe_medical_dosage,safety_filter,Health Care,,blocked,medical_claim,yes,safety_prompt.txt,pending,pending,Demo row for dosage refusal logic
