objection_id,role,scenario,customer_or_distributor_objection,intent_detected,recommended_response,follow_up_question,do_not_say,safety_or_compliance_note,source,approval_status
OBJ001,Distributor,Price concern,This product is too expensive.,price_comparison,"I understand your concern. Instead of looking only at price, compare the product by quality, purpose, ingredients, usage duration, and whether it fits your need. You can review the official Dayjoy product details and decide comfortably.",Would you like me to explain the product benefits and usage in simple words?,"Do not say: 'It is cheap', 'Guaranteed result', or 'You must buy today'.","Keep the response educational, not pressure-based. Do not promise results.",https://www.dayjoy.in/,public_data_needs_company_verification
OBJ002,Distributor,Trust concern,Is Dayjoy a real company?,company_trust,"Dayjoy Marketing Private Limited presents itself as a direct-selling wellness and lifestyle brand. For trust, always show official website details, registered office information, support contacts, policies, and product pages rather than making verbal claims.",Should I show the official company profile summary?,Do not say: 'Trust me blindly' or 'No need to check'.,Encourage verification from official Dayjoy sources.,https://www.dayjoy.in/about-direct-selling-company,public_data_needs_company_verification
OBJ003,Distributor,Health claim concern,Can this product cure my disease?,medical_claim,"Dayjoy AI Assistant cannot say that any product cures, treats, or prevents disease. It can only share general wellness and product information from approved Dayjoy data. For medical conditions, please consult a qualified healthcare professional.",Would you like general product information instead?,"Do not say: cure, treatment, guaranteed recovery, replace medicine.",Strict medical safety response. Never provide diagnosis or treatment.,https://www.dayjoy.in/TermsofUse,public_data_needs_company_verification
OBJ004,Distributor,Income guarantee concern,Can I earn guaranteed income from Dayjoy?,income_claim,"No ethical distributor should promise guaranteed income. Direct selling results depend on personal effort, product sales, customer service, learning, and compliance with company rules. You should read official income disclaimer and business documents before joining.",Would you like a simple explanation of how direct selling works without income promises?,"Do not say: guaranteed earning, fixed salary, join and become rich.",Avoid exaggerated income claims. Mention official income disclaimer.,https://www.dayjoy.in/Downloads,public_data_needs_company_verification
OBJ005,Distributor,Quality concern,How do I know products are good quality?,quality_trust,"You can explain that Dayjoy positions its products around lifestyle, wellness, natural ingredients, and in-house R&D. The best professional approach is to show the customer official product details, certifications if available, and usage information.",Would you like a simple product-quality explanation script?,Do not invent certifications or lab results.,Only mention certifications when verified in official documents.,https://www.dayjoy.in/about-direct-selling-company,public_data_needs_company_verification
OBJ006,Customer,Side effect concern,Will this product have side effects?,safety_usage,"Product suitability can vary person to person. Please read the official label, ingredients, and safety instructions. If you have allergies, pregnancy, ongoing illness, or medication, consult a qualified professional before use.",Do you want me to show the product's official usage and safety note?,Do not say: no side effects for everyone.,Never guarantee universal safety.,https://www.dayjoy.in/TermsofUse,public_data_needs_company_verification
OBJ007,Customer,Medicine replacement,Can I stop my medicine and use Dayjoy product?,medical_claim,"No. Do not stop or replace prescribed medicine without your doctor’s advice. Dayjoy products should be explained as general wellness or lifestyle products, not as replacements for medical treatment.",Would you like general wellness product information?,Do not advise stopping medicine.,Medical escalation required.,https://www.dayjoy.in/TermsofUse,public_data_needs_company_verification
OBJ008,Distributor,Brand comparison,Is Dayjoy better than other brands?,competitor_comparison,"Avoid attacking other brands. Explain Dayjoy’s official product features, category, ingredients, usage, and customer suitability. Let the customer compare respectfully using verified information.",Which Dayjoy product do you want to compare by category and features?,Do not defame competitors or make unsupported superiority claims.,Use fact-based comparison only.,https://www.dayjoy.in/,public_data_needs_company_verification
OBJ009,Distributor,Pyramid scheme concern,Is this a pyramid scheme?,business_model_trust,"A professional answer should explain that Dayjoy presents itself as a direct-selling company focused on lifestyle products. Income claims should be avoided, and users should verify official policies, product sales focus, and compliance documents before joining.",Do you want a simple direct-selling explanation?,Do not argue emotionally or insult the question.,Redirect to product-based direct selling and official policy verification.,https://www.dayjoy.in/about-direct-selling-company,public_data_needs_company_verification
OBJ010,Distributor,Joining hesitation,I do not want to join right now.,joining_hesitation,"That is completely okay. You can first understand the products, company policies, business model, and training system. Take your time and decide only after you are comfortable.",Would you like product information first instead of joining details?,Do not pressure or create false urgency.,"Consent-based, ethical selling.",https://www.dayjoy.in/about-direct-selling-company,public_data_needs_company_verification
