topic,subtopic,verified_info,use_in_dayjoy_ai,source_name,source_url,confidence,approval_status,notes
Company Identity,Company name,Dayjoy Marketing Private Limited / Dayjoy Marketing is presented publicly as a direct-selling and wellness/lifestyle brand.,Use for company intro answers such as 'What is Dayjoy?' and 'What type of company is Dayjoy?',Dayjoy official website,https://www.dayjoy.in/,High,Needs Dayjoy approval before production,Use official wording where possible; avoid exaggeration.
Company Identity,Registered/office address,"Public Dayjoy materials list the company address as A-780, Indra Vihar, Kota, Rajasthan - 324005.",Use for contact/company profile section and official company facts.,Dayjoy Product Brochure public listing / Dayjoy public web references,https://www.dayjoy.in/,Medium,Needs Dayjoy approval before production,Verify directly from latest official Dayjoy contact page before final pitch.
Business Model,Direct selling positioning,"Dayjoy presents itself as a trusted direct selling and lifestyle brand in India, focused on growth, independence, and long-term success.",Use in distributor mode to explain Dayjoy's business model safely and professionally.,Dayjoy official website / Downloads page,https://www.dayjoy.in/Downloads,High,Needs Dayjoy approval before production,Do not promise fixed income or guaranteed success.
Business Model,Entrepreneurship/distributor focus,Dayjoy's LinkedIn describes the brand as operating on direct selling and supporting independent distributors to become entrepreneurs.,"Use for distributor onboarding, training, personal branding, and ethical sales guidance.",Dayjoy LinkedIn,https://in.linkedin.com/company/dayjoy-private-limited,High,Needs Dayjoy approval before production,"Use compliance-safe wording: opportunity, training, entrepreneurship; no income guarantee."
Product Positioning,Core product focus,"Dayjoy states that its focus spans health, beauty, overall wellness, and household items for enhancing customer quality of life.",Use to answer broad product category questions and create category filters.,Dayjoy About Direct Selling Company page,https://www.dayjoy.in/about-direct-selling-company,High,Needs Dayjoy approval before production,Keep wellness wording general; avoid medical/treatment claims.
Product Categories,Public shop categories,"Public Dayjoy shop/category navigation includes categories such as Health Care, Personal Care, Food Products, Agriculture & Veterinary, Home Care, Skin Care, Cloth, Combo Package, Dayjoy Essential, Aqua Essentials, Germanium & Magnetic, and Color and Cosmetics.",Use as category taxonomy for product search and product recommendation engine.,Dayjoy official shop/category pages,https://www.dayjoy.in/Shop/Shop/HEALTH-CARE/4,High,Needs Dayjoy approval before production,Use categories as app filter buttons.
Brands/Sub-brands,Publicly mentioned brand lines,"Public sources mention Dayjoy-associated brand/product lines such as Curind, Homeshine, Wild Muse/Wildmuse, Aayushmaan, Asthprash, Happygrow, Domatti, Yumdum, and Dayjoy.",Use as brand filter and product-card grouping in the app.,Dayjoy official site and public business listings,https://www.dayjoy.in/,Medium,Needs Dayjoy approval before production,Confirm exact spelling and current availability from official catalogue.
Customer Use Case,Product discovery,"Customers may need help finding products by category, brand, use case, and product name across Dayjoy's multi-category catalogue.",Create Product Expert Mode and Problem-to-Product Mode.,Derived from Dayjoy public product categories,https://www.dayjoy.in/Shop/Shop/FOOD-PRODUCTS/10,High,Demo assumption; validate with Dayjoy,AI should answer from product database only.
Distributor Use Case,Training and sales enablement,"Dayjoy public messaging emphasizes personal branding, direct selling, leadership, and entrepreneurship.","Create Distributor Coach Mode: product explanation, follow-up messages, objection handling, and daily activity checklist.",Dayjoy official Downloads page / LinkedIn,https://www.dayjoy.in/Downloads,High,Needs Dayjoy approval before production,Add compliance layer to prevent pressure selling or exaggerated claims.
Social Media Presence,Instagram positioning,The public Instagram profile describes Dayjoy as encouraging entrepreneurship and a proactive approach to health and wellness.,Use to design content assistant tone and social post generator for distributors.,Dayjoy Instagram,https://www.instagram.com/dayjoy_india/,Medium,Needs Dayjoy approval before production,Do not scrape private content; use public profile/post patterns only.
Social Media Presence,Facebook positioning,"The public Facebook page describes Dayjoy as offering manufactured products in nutrition, beauty, agriculture, clothing, food, and home.",Use to widen Dayjoy GPT taxonomy and future content-generation module.,Dayjoy Facebook,https://www.facebook.com/dayjoyprivatelimited/,Medium,Needs Dayjoy approval before production,Verify categories with official catalogue.
Mobile/Digital Presence,Dayjoy Android app,Dayjoy has a public Android app listing associated with its consumer/distributor ecosystem.,"Mention future integration possibilities: product catalogue, account help, order/status support if official API access is provided.",Google Play listing,https://play.google.com/store/apps/details?id=com.applore.dayjoy,Medium,Needs Dayjoy technical approval,Do not claim API integration unless company provides access.
Compliance,Health/wellness claim safety,"Because Dayjoy sells wellness and health-related products, the AI must avoid diagnosis, cure, treatment, replacement of medicine, or exact medical dosage advice unless official and compliant.",Mandatory safety prompt and unsafe query filter.,Derived from health/wellness product positioning,https://www.dayjoy.in/about-direct-selling-company,High,Mandatory before production,Always add disclaimer for health questions.
Compliance,Income claim safety,"Because Dayjoy uses a direct-selling business model, the AI must not promise fixed income, guaranteed earnings, rank guarantee, or unrealistic success.",Mandatory business compliance prompt for distributor mode.,Dayjoy official Downloads page / direct selling positioning,https://www.dayjoy.in/Downloads,High,Mandatory before production,"Use phrases like 'potential opportunity' and 'results depend on effort, sales, rules, and market factors'."
Dayjoy GPT Scope,Version 1 MVP scope,"The first app version should include role selection, product search, FAQ search, distributor coach, safety rules, admin data view, and analytics logging.",Use as Stage 1 build requirements for the local MVP.,Project design decision based on research,internal_project_plan,High,Approved for demo planning,"Build with Streamlit + CSV first, then upgrade to database/RAG."
