template_id,platform,content_type,target_role,goal,category,title,hook,body_template,cta,hashtags,compliance_note,source_basis,approval_status
SCT001,Instagram/Facebook,Educational Post,Distributor,Product education,Health Care,General wellness product intro,Confused about which wellness product to explain first?,"Introduce the Dayjoy product category in simple words: what it is, who may find it useful for general wellness, and why customers should read the official product label before use.",Ask me for official Dayjoy product details before choosing.,#Dayjoy #Wellness #HealthAndWellness #DirectSelling,"Do not claim cure, treatment, prevention, or guaranteed results. Use only approved product data.",Dayjoy official site: wellness/lifestyle products and health category positioning,public_data_needs_company_verification
SCT002,Instagram Reel,Short Reel Script,Distributor,Brand awareness,Company,What is Dayjoy?,Dayjoy is not just products — it is a lifestyle and direct-selling ecosystem.,"30-sec reel: 1) Start with Dayjoy as a wellness and lifestyle brand. 2) Mention categories like health, beauty, home care, food, agriculture, and personal care. 3) End with ethical customer education.",Follow for simple Dayjoy product education.,#Dayjoy #DayjoyIndia #WellnessBrand #LifestyleProducts,Avoid saying 'official' unless approved by Dayjoy management. Avoid income promises.,Dayjoy official homepage and social profiles,public_data_needs_company_verification
SCT003,WhatsApp,Customer Follow-up Message,Distributor,Customer follow-up,Sales Support,Polite follow-up after product interest,"Hi [Name], just following up on your Dayjoy product query.","Hi [Name], I hope you are doing well. You asked about [product/category]. I can share the official product details, benefits, and safe usage information. Please check the product label and ask me any question before deciding.",Would you like the official details of this product?,#Dayjoy #CustomerSupport,Do not pressure the customer. Do not claim medical benefits beyond approved data.,Direct-selling ethical communication based on Dayjoy training/business context,public_data_needs_company_verification
SCT004,WhatsApp,Objection Reply,Distributor,Objection handling,Price,When customer says product is costly,I understand price matters.,"I understand your concern. Dayjoy products should be understood based on quality, usage, and whether the product fits your need. You can compare the product details and decide comfortably. No pressure.",Would you like me to share the product details and usage information?,#Dayjoy,No pressure selling. No exaggerated quality claims unless verified.,Dayjoy direct-selling positioning and ethical sales best practices,public_data_needs_company_verification
SCT005,Instagram/Facebook,Carousel Post,Distributor,Product category education,Beauty/Personal Care,Beauty & personal care category post,Simple care starts with understanding your product.,"Slide 1: Dayjoy Beauty/Personal Care. Slide 2: Who may explore this category. Slide 3: What to check before buying: skin type, usage, label, ingredients. Slide 4: Ask for official product details.",DM for product category information.,#Dayjoy #PersonalCare #BeautyCare #WellnessLifestyle,No before-after transformation claims unless officially approved. Avoid body-shaming or unrealistic beauty claims.,Dayjoy public category listing and Instagram product/lifestyle content,public_data_needs_company_verification
SCT006,Instagram/Facebook,Carousel Post,Distributor,Product category education,Agriculture,Agriculture product education,Crops also need informed care.,Slide 1: Dayjoy Agriculture & Veterinary category. Slide 2: Understand the crop/soil issue first. Slide 3: Use only according to official product instructions. Slide 4: Ask for product-specific guidance.,Share your crop/product question.,#Dayjoy #Agriculture #FarmingSupport #AgriProducts,Do not promise yield increase or guaranteed farm results. Use official instructions only.,Dayjoy category pages and product/training public references,public_data_needs_company_verification
SCT007,YouTube Shorts/Reel,Short Script,Distributor,Training,Distributor Training,How to explain products ethically,A good distributor educates first and sells second.,"Script: 1) Ask the customer need. 2) Share only official product information. 3) Explain usage and safety. 4) Never promise cure, income, or guaranteed results.",Save this for your next customer conversation.,#Dayjoy #DistributorTraining #EthicalSelling #DirectSelling,"No medical claims, no income guarantees, no pressure tactics.",Dayjoy downloads/training ecosystem and compliance pages,public_data_needs_company_verification
SCT008,WhatsApp,Lead Capture Message,Distributor,Lead generation,Customer Support,Collect customer need safely,"To guide you properly, I need to understand your requirement.","Hi [Name], please tell me which category you are interested in: Health Care, Personal Care, Skin Care, Home Care, Food Products, or Agriculture. I will share general product information from Dayjoy data.",Reply with your category.,#Dayjoy,Do not collect sensitive medical details. Keep it general.,Dayjoy product categories on official shop pages,public_data_needs_company_verification
SCT009,Instagram/Facebook,Trust Post,Distributor,Trust building,Company,Why verified product information matters,"In wellness, correct information builds trust.","Always check product details from Dayjoy official sources. A responsible distributor explains benefits, usage, and safety notes without overclaiming.",Ask for verified product information.,#Dayjoy #TrustedInformation #WellnessEducation,Avoid stating unverified certifications or claims. Mention only approved facts.,Dayjoy official website/policy/download pages,public_data_needs_company_verification
SCT010,Instagram/Facebook,Event/Community Post,Distributor,Community building,Brand,Dayjoy community post,"Growth happens with learning, discipline, and teamwork.","Dayjoy’s direct-selling ecosystem encourages product learning, ethical communication, and personal growth. Use training, product education, and consistent follow-up to serve customers better.",Stay connected for training updates.,#Dayjoy #DayjoyPariwar #DirectSelling #Leadership,No guaranteed income or rank promise. Keep motivational content realistic.,"Dayjoy public website, social pages, and training/download ecosystem",public_data_needs_company_verification
