product_id,product_name,brand,category,sub_category,problem_tags,benefits,ingredients,usage,who_can_use,safety_note,source_url,source_type,approved
DJ-HC-001,Asthprash (300 grams),Asthprash / Curind,Health Care,Respiratory Wellness,"respiratory wellness, cough support, chest comfort, breathing support, immunity","Official page lists key features including natural herbal formula, improved lung function, respiratory health support, and anti-inflammatory properties; use only as general wellness information.","Tulsi, Pippali, Mulethi; official page also mentions Ginger and Licorice in description.","Adults: 1 tablespoon before sleeping; Children: 1/2 tablespoon in the morning or as directed by physician, according to official page.",Adults and children as per label/physician guidance.,"General wellness information only. Do not claim cure/treatment. Consult healthcare provider if pregnant, breastfeeding, or having existing medical conditions.",https://www.dayjoy.in/Product/ProductDetails/Asthprash-%28300-grams%29/485,official_product_page,needs_company_verification
DJ-HC-002,Golden Elixir - Nano Curcumin Drops,Curind,Health Care,Curcumin Wellness,"inflammation support, antioxidant support, immunity, digestion, joint wellness, skin wellness","Official page lists enhanced absorption, powerful antioxidant, inflammation reduction, immune support, digestion support, joint health support, and skin health support.","Antioxidants, Nano-sized Curcumin, Vitamins and minerals.","Adults above 6 years: 1 ml per day; Children 2.5-6 years: 0.6 ml/day; 6 months-2.5 years: 0.3 ml/day; infants 0-6 months: 0.2 ml/day, as listed on official page.",Age groups listed on official page; use only as per product label/qualified guidance.,"General wellness information only. Do not claim cure/treatment. Consult healthcare provider if pregnant, breastfeeding, or having medical conditions.",https://www.dayjoy.in/Product/ProductDetails/Golden-Elixir---Nano-Curcumin-Drops/602,official_product_page,needs_company_verification
DJ-HC-003,Seabuckthron Juice (1 Ltr.),Curind,Health Care,Nutrition Juice,"immunity, digestion, metabolism, skin wellness, liver wellness, heart wellness, antioxidants, omega fatty acids","Official page lists Vitamin C, antioxidants, Omega fatty acids, digestion/metabolism support, immunity support, skin wellness, liver/heart health support.","Vitamin C, Antioxidants, Omega-3, 6, 7, and 9.","Adults: 30 ml twice daily with lukewarm water; Children: 5-10 ml twice daily with lukewarm water or as directed by physician, according to official page.",Adults and children as per label/physician guidance.,"General wellness information only. Do not claim cure/treatment. Consult healthcare provider if pregnant, breastfeeding, or having existing medical conditions.",https://www.dayjoy.in/Product/ProductDetails/Seabuckthron-Juice-%281-Ltr.%29/501,official_product_page,needs_company_verification
DJ-AG-001,Happy Soil - Humic (500ml),Happygrow,Agriculture & Veterinary,Soil Conditioner,"soil health, root development, nutrient uptake, water retention, plant growth, crop growth","Official page lists water retention, soil conditioning, nutrient enhancement, robust root development, improved soil structure, and plant growth support.",Humic Acid and Fulvic Acid.,"Dilute 1 litre in 200 litres of water per acre at 15-20 day interval; apply via soil drenching near root zone through flood or drip irrigation, according to official page.","Farmers, gardeners, agricultural users; follow label directions.","Agriculture-use product. Keep away from children/pets, avoid eye/skin contact, do not ingest, wear protective gloves/eyewear, use only as directed.",https://dayjoy.in/Product/ProductDetails/Happy-Soil---Humic%28500ml%29/547,official_product_page,needs_company_verification
DJ-HC-004,Adicardial 120 Tablets,Curind,Health Care,Cardio Wellness,"cardio wellness, heart wellness","Listed on official Health Care category page. Product-specific benefits, ingredients, and usage require official product-page verification.",Needs product-page verification,Use as per product label.,Adults as per product label.,General wellness information only. Do not claim cure/treatment.,https://www.dayjoy.in/Shop/Shop/HEALTH-CARE/4,official_category_listing,needs_company_verification
DJ-HC-005,Adicardial Syrup (500ml),Curind,Health Care,Cardio Wellness,"cardio wellness, syrup","Listed on official Health Care category page. Product-specific benefits, ingredients, and usage require official product-page verification.",Needs product-page verification,Use as per product label.,As per product label.,General wellness information only. Do not claim cure/treatment.,https://www.dayjoy.in/Shop/Shop/HEALTH-CARE/4,official_category_listing,needs_company_verification
DJ-HC-006,Adila Forte (30 Tab),Curind,Health Care,Wellness Supplement,"general wellness, nutrition support",Listed on official Health Care category page. Product-specific benefits require official verification.,Needs product-page verification,Use as per product label.,As per product label.,General wellness information only. Do not claim cure/treatment.,https://www.dayjoy.in/Shop/Shop/HEALTH-CARE/4,official_category_listing,needs_company_verification
DJ-HC-007,Adilipo (60 Tablets),Curind,Health Care,Wellness Supplement,"weight management support, metabolism support",Listed on official Health Care category page. Problem tags are inferred from product name and need company verification.,Needs product-page verification,Use as per product label.,As per product label.,General wellness information only. Do not claim cure/treatment or guaranteed weight loss.,https://www.dayjoy.in/Shop/Shop/HEALTH-CARE/4,official_category_listing,needs_company_verification
DJ-HC-008,Adiliv (60 Tab),Curind,Health Care,Liver Wellness,"liver wellness, digestion support",Listed on official Health Care category page. Problem tags are inferred from product name and need company verification.,Needs product-page verification,Use as per product label.,As per product label.,General wellness information only. Do not claim cure/treatment.,https://www.dayjoy.in/Shop/Shop/HEALTH-CARE/4,official_category_listing,needs_company_verification
DJ-HC-009,Advanced Calcium Tablets,Curind,Health Care,Calcium Supplement,"calcium, bone wellness, nutrition support",Listed on official Health Care category page. Product-specific benefits require official verification.,Needs product-page verification,Use as per product label.,As per product label.,General wellness information only. Do not claim cure/treatment.,https://www.dayjoy.in/Shop/Shop/HEALTH-CARE/4,official_category_listing,needs_company_verification
