faq_id,question,answer,category,role_access,intent_tags,safe_ai_response_note,source,source_url,approval_status
FAQ001,What is Dayjoy?,"Dayjoy Marketing Private Limited is a direct-selling company and wellness/lifestyle brand focused on products for health, beauty, overall wellness, and household use.",Company,all,"company overview, about dayjoy",Use only as company overview; avoid adding unverified claims.,Dayjoy official website - About/Home,https://www.dayjoy.in/,public_data_needs_company_verification
FAQ002,Where is Dayjoy located?,"Dayjoy Marketing Private Limited lists its registered office at A-780, Indra Vihar, Kota, Rajasthan 324005, India.",Company,all,"address, office, location","For official use, verify address with Dayjoy before publishing.",Dayjoy official contact page,https://www.dayjoy.in/Contact,public_data_needs_company_verification
FAQ003,How can users contact Dayjoy support?,"Dayjoy's contact page lists customer care, business support, WhatsApp support, dispatch, franchise manager contacts, and support@dayjoy.in for email support.",Support,all,"support, contact, customer care, whatsapp",Do not expose personal details beyond official public contact information.,Dayjoy official contact page,https://www.dayjoy.in/Contact,public_data_needs_company_verification
FAQ004,What type of business model does Dayjoy use?,Dayjoy publicly positions itself as a direct-selling and lifestyle brand where independent distributors can promote products and build a business.,Business Model,"customer,distributor,employee,admin","direct selling, distributor, business model",Avoid income guarantees; explain opportunity ethically.,Dayjoy official Downloads page,https://www.dayjoy.in/Downloads,public_data_needs_company_verification
FAQ005,Can Dayjoy products cure diseases?,"No. The AI assistant should not claim that any Dayjoy product cures, treats, prevents, or diagnoses disease. It should provide only general wellness and product information from approved sources.",Safety,all,"cure, disease, treatment, medical",Always include health disclaimer for medical-related questions.,Dayjoy AI safety rule based on wellness compliance requirement,https://www.dayjoy.in/,demo_policy_needs_company_legal_approval
FAQ006,Can Dayjoy AI Assistant give medical advice?,"No. Dayjoy AI Assistant should not give medical advice, diagnosis, or dosage for health conditions. It can only share general product information and should suggest consulting a qualified professional for medical concerns.",Safety,all,"doctor, dosage, medical advice, health",Block medical advice and redirect to general wellness/product info.,Dayjoy AI safety rule based on health-product compliance requirement,https://www.dayjoy.in/,demo_policy_needs_company_legal_approval
FAQ007,Can distributors promise guaranteed income using Dayjoy?,"No. The AI assistant must not promise fixed, guaranteed, or assured income. It should explain that business outcomes depend on effort, skill, market conditions, product sales, and company rules.",Compliance,"distributor,employee,admin","income, guarantee, earning, business plan",Never generate guaranteed-income claims.,Dayjoy official site footer includes Income Disclaimer; AI safety rule,https://www.dayjoy.in/Product/ProductDetails/Liv-Ease-%28500ml%29/497,demo_policy_needs_company_legal_approval
FAQ008,What product categories does Dayjoy have?,"Dayjoy's public shop includes categories such as Health Care, Personal Care, Germanium & Magnetic, Color and Cosmetics, Aqua Essentials, Home Care, Food Products, Agriculture & Veterinary, Cloth, Dayjoy Essential, Combo Package, and Skin Care.",Products,all,"categories, product list, shop",Categories may change; fetch latest from official catalog before final deployment.,Dayjoy official shop/category pages,https://www.dayjoy.in/Shop/Shop/HEALTH-CARE/4,public_data_needs_company_verification
FAQ009,What brands or product lines are associated with Dayjoy?,"Public Dayjoy shop/category pages and site content reference product lines/brands such as Curind, Homeshine, Wild Muse, Aayushmaan, Asthprash, Happygrow, Domatti, Yumdum, and Dayjoy.",Products,all,"brands, product lines, curind, wild muse",Verify brand list with company catalog before final pitch.,Dayjoy official website/shop pages,https://www.dayjoy.in/,public_data_needs_company_verification
FAQ010,What is the purpose of Dayjoy AI Assistant?,"The purpose is to provide Dayjoy-related answers from approved company data, help customers understand products, support distributors with ethical training, and help employees answer repeated queries efficiently.",AI App,all,"dayjoy gpt, ai assistant, purpose","This is product-project content, not official company statement until approved.",Project design document based on Dayjoy public business model,https://www.dayjoy.in/,demo_project_content
